E,nu,Y,S,D
200.191,0.292,331.126,1150,2.125
200.071,0.297,330.403,1048.01,2.366
199.962,0.301,329.788,976.781,2.57
200.104,0.296,330.6,1073.66,2.3
199.999,0.3,329.961,995.678,2.513
199.839,0.306,329.127,912.115,2.788
200.01,0.299,330.06,1006.85,2.48
199.898,0.304,329.442,941.577,2.685
199.92,0.303,329.575,954.663,2.641
199.911,0.303,329.508,948.027,2.663
