Point ID,Points_0,Points_1,Points_2,Points_Magnitude,u_0,u_1,u_2,u_Magnitude
0,0.42,0,0,0.42,0,0,0,0
1,0.42,1.9974e-12,0,0.42,2.57444e-16,2.84785e-15,0,2.85946e-15
2,0.42,0.0354198,0,0.421491,2.52275e-06,5.15969e-05,0,5.16585e-05
3,0.42,0.0363206,0,0.421568,2.63414e-06,5.29373e-05,0,5.30027e-05
4,0.42,0.0170677,0,0.420347,1.11244e-06,2.42224e-05,0,2.42479e-05
5,0.42,0.0367729,0,0.421607,2.716e-06,5.36377e-05,0,5.37064e-05
6,0.42,0.0411943,0,0.422015,3.20647e-06,6.0582e-05,0,6.06668e-05
7,0.42,0.0550203,0,0.423589,4.66778e-06,8.22416e-05,0,8.2374e-05
8,0.42,0.0820987,0,0.427949,8.86354e-06,0.000127759,0,0.000128066
9,0.42,0.0901964,0,0.429576,1.08343e-05,0.000142475,0,0.000142887
10,0.42,0.107369,0,0.433507,1.54347e-05,0.000179141,0,0.000179804
11,0.42,0.107814,0,0.433617,1.55919e-05,0.000180108,0,0.000180782
12,0.42,0.108843,0,0.433874,1.5983e-05,0.000182713,0,0.000183411
13,0.42,0.0725956,0,0.426228,7.32469e-06,0.0001109,0,0.000111141
14,0.42,0.0569804,0,0.423848,4.81041e-06,8.54205e-05,0,8.55558e-05
15,0.42,0.125477,0,0.438343,2.17934e-05,0.000224375,0,0.000225431
16,0.42,0.132668,0,0.440455,2.44716e-05,0.00024523,0,0.000246448
17,0.42,0.143057,0,0.443695,2.89589e-05,0.000275293,0,0.000276812
18,0.42,0.157911,0,0.448705,3.53933e-05,0.000324337,0,0.000326262
19,0.42,0.160671,0,0.449684,3.66432e-05,0.000333269,0,0.000335278
20,0.42,0.166918,0,0.451953,3.92188e-05,0.000355976,0,0.00035813
21,0.42,0.178249,0,0.45626,4.36741e-05,0.000397118,0,0.000399512
22,0.42,0.183231,0,0.458229,4.53025e-05,0.000417396,0,0.000419847
23,0.42,0.195887,0,0.463435,4.88621e-05,0.000466698,0,0.000469249
24,0.42,0.208628,0,0.468962,5.0699e-05,0.000521705,0,0.000524162
25,0.42,0.213537,0,0.471167,5.09735e-05,0.000541682,0,0.000544075
26,0.42,0.224725,0,0.476342,4.90578e-05,0.000591701,0,0.000593731
27,0.42,0.231178,0,0.47942,4.79608e-05,0.000620876,0,0.000622726
28,0.42,0.234008,0,0.480791,4.65839e-05,0.000635081,0,0.000636787
29,0.42,0.248814,0,0.488168,3.75097e-05,0.000703734,0,0.000704733
30,0.42,0.259388,0,0.493642,2.61844e-05,0.000758472,0,0.000758924
31,0.42,0.266441,0,0.497384,1.78249e-05,0.000791908,0,0.000792109
32,0.42,0.282498,0,0.506167,-1.11809e-05,0.000878336,0,0.000878407
33,0.42,0.28406,0,0.50704,-1.40104e-05,0.000886969,0,0.00088708
34,0.42,0.284746,0,0.507425,-1.586e-05,0.000891446,0,0.000891587
35,0.42,0.301669,0,0.517111,-6.17174e-05,0.000992177,0,0.000994094
36,0.42,0.310068,0,0.522056,-9.41087e-05,0.00105296,0,0.00105716
37,0.42,0.319274,0,0.527576,-0.000128661,0.00111421,0,0.00112161
38,0.42,0.335371,0,0.53747,-0.000212119,0.00124799,0,0.00126589
39,0.42,0.336864,0,0.538403,-0.000219516,0.00125952,0,0.0012785
40,0.42,0.340255,0,0.540531,-0.000242242,0.0012927,0,0.0013152
41,0.42,0.354448,0,0.549576,-0.00033963,0.00143636,0,0.00147597
42,0.42,0.360724,0,0.553644,-0.000396665,0.00151585,0,0.00156689
43,0.42,0.372021,0,0.56107,-0.000494163,0.001651,0,0.00172337
44,0.42,0.386074,0,0.570485,-0.0006503,0.00185826,0,0.00196876
45,0.42,0.389569,0,0.572856,-0.000687257,0.00190731,0,0.00202735
46,0.42,0.397491,0,0.578273,-0.000792167,0.00204157,0,0.00218987
47,0.42,0.407135,0,0.584944,-0.000922359,0.00220877,0,0.00239362
48,0.42,0.411383,0,0.587908,-0.000991446,0.00229454,0,0.00249957
49,0.42,0.424736,0,0.597328,-0.00120102,0.00255523,0,0.00282341
50,0.42,0.436683,0,0.605881,-0.00142069,0.00282038,0,0.00315799
51,0.42,0.442356,0,0.609982,-0.00152201,0.00294289,0,0.00331318
52,0.42,0.45553,0,0.619602,-0.00178988,0.00325824,0,0.0037175
53,0.42,0.459908,0,0.622828,-0.00187965,0.00336418,0,0.00385368
54,0.42,0.461651,0,0.624116,-0.00191861,0.00340904,0,0.00391185
