Point ID,Points_0,Points_1,Points_2,Points_Magnitude,p,u_0,u_1,u_2,u_Magnitude
66,0.0166656,0.150001,1e-09,0.150924,-14.245,0.000136478,0.000104138,-1.88388e-13,0.000171671
67,0.12,0,1e-09,0.12,-81.2158,9.13749e-48,0,-3.71237e-13,3.71237e-13
68,0.0646532,0.152771,1e-09,0.165889,-37.0165,0.000132304,0.000109395,-2.85378e-13,0.000171673
69,0.0785118,0.167015,1e-09,0.184549,-41.7267,0.000134383,0.000122615,-2.85378e-13,0.000181916
70,0.0972076,0.163248,1e-09,0.189998,-52.1611,0.000130675,0.000129578,-2.38331e-13,0.000184029
71,0.0466671,0.156619,1e-09,0.163424,-26.4978,0.000135851,0.000107088,-1.87194e-13,0.000172984
72,0.0298024,0.16,1e-09,0.162752,-17.4005,0.000138083,0.000106303,-1.87194e-13,0.000174262
73,0.0590564,0.171379,1e-09,0.181268,-30.059,0.000137863,0.00011658,-1.87194e-13,0.000180547
74,0.0366598,0.17686,1e-09,0.180619,-16.1145,0.000141123,0.000112032,-1.87194e-13,0.000180186
75,0.119755,0.0864771,1e-09,0.147714,-72.6053,8.49701e-05,7.55566e-05,-3.26583e-13,0.000113704
76,0.127419,0.120211,1e-09,0.175175,-70.4376,0.000106806,0.000108465,-3.26583e-13,0.000152224
77,0.133344,0.101129,1e-09,0.167355,-75.2543,9.38089e-05,9.28734e-05,-3.26583e-13,0.000132006
78,0.121502,0.139267,1e-09,0.184819,-66.132,0.000117726,0.000123006,-4.77165e-13,0.000170264
79,0.156458,0.0250526,1e-09,0.158452,-89.0263,2.61848e-05,2.43841e-05,-7.29973e-13,3.57803e-05
80,0.168518,0.0385639,1e-09,0.172875,-91.1564,3.85665e-05,3.90822e-05,-7.29973e-13,5.49071e-05
81,0.16411,0.0588386,1e-09,0.174339,-88.6271,5.69678e-05,5.94357e-05,-6.4436e-13,8.23282e-05
82,0.14,0,1e-09,0.14,-85.9012,7.0015e-48,0,-3.87488e-13,3.87488e-13
83,0.138998,0.0822834,1e-09,0.161527,-79.0892,7.92156e-05,7.659e-05,-5.00594e-13,0.000110187
84,0.158285,0.0779182,1e-09,0.176424,-85.4242,7.31917e-05,7.7762e-05,-5.00594e-13,0.000106789
85,0,0.14,1e-09,0.14,-14.2563,0.000134465,0.000107153,-1.13218e-13,0.000171938
86,0,0.16,1e-09,0.16,-6.376,0.000140552,0.00010842,-6.93542e-14,0.000177509
87,0.0173205,0.17,1e-09,0.17088,-8.575,0.000141158,0.000107674,-1.25403e-13,0.000177536
88,0.0175965,0.189325,1e-09,0.190141,-3.70346,0.000142754,0.000109282,-1.31317e-13,0.000179781
89,0.0919889,0.18176,1e-09,0.203712,-46.4569,0.000134966,0.000139079,-1.90436e-13,0.000193801
90,0.0726792,0.185995,1e-09,0.199691,-35.4105,0.000138103,0.000130138,-1.90436e-13,0.000189759
91,0.0532078,0.19038,1e-09,0.197676,-22.5891,0.000140517,0.000121924,-1.90436e-13,0.000186039
92,0.11594,0.158485,1e-09,0.196366,-62.3182,0.000125927,0.000136584,-4.25095e-13,0.000185776
93,0.135073,0.153857,1e-09,0.204736,-70.719,0.000120577,0.000143563,-4.25095e-13,0.000187481
94,0.129706,0.172968,1e-09,0.216198,-67.215,0.000126795,0.000157601,-4.25095e-13,0.000202274
95,0.110762,0.17777,1e-09,0.209452,-57.8321,0.000131415,0.000148262,-2.75425e-13,0.00019812
96,0.0349006,0.19964,1e-09,0.202667,-10.2741,0.000141066,0.000115952,-1.37832e-13,0.000182604
97,0.146872,0.115828,1e-09,0.187049,-78.9297,0.000100787,0.000112447,-3.78941e-13,0.000151004
98,0.140982,0.134855,1e-09,0.195094,-74.7793,0.000112033,0.000128464,-3.78941e-13,0.000170454
99,0.160412,0.130541,1e-09,0.206816,-82.8418,0.000105969,0.000133847,-3.78941e-13,0.000170717
100,0.166166,0.111574,1e-09,0.200149,-85.4661,9.47118e-05,0.000115921,-4.55754e-13,0.000149693
101,0.152556,0.0969834,1e-09,0.180773,-82.3272,8.79407e-05,9.53928e-05,-4.55754e-13,0.000129743
102,0.171824,0.0925923,1e-09,0.195184,-88.7032,8.16433e-05,9.75091e-05,-4.55754e-13,0.000127176
103,0.154554,0.149503,1e-09,0.215031,-79.6634,0.000114956,0.000150601,-4.15396e-13,0.000189461
104,0.148753,0.168409,1e-09,0.224698,-75.8724,0.00012186,0.000166289,-4.15396e-13,0.00020616
105,0.184168,0.0322344,1e-09,0.186968,-96.1624,3.15224e-05,3.42807e-05,-5.22086e-13,4.65707e-05
106,0.177658,0.0735712,1e-09,0.192289,-92.0163,6.71912e-05,7.81924e-05,-5.22086e-13,0.000103096
107,0.185204,0.0514663,1e-09,0.192222,-95.121,4.84391e-05,5.53636e-05,-5.22086e-13,7.35627e-05
108,0.16,0,1e-09,0.16,-91.4155,1.43915e-137,0,-4.09767e-13,4.09767e-13
109,0.172063,0.0161292,1e-09,0.172818,-93.9664,1.67307e-05,1.63716e-05,-4.09767e-13,2.34082e-05
110,0.190742,0.0168922,1e-09,0.191488,-99.2694,1.67344e-05,1.82396e-05,-6.60835e-13,2.47532e-05
111,0,0.18,1e-09,0.18,-1.87062,0.000143328,0.000108682,-4.36136e-14,0.000179875
112,0.0506968,0.210395,1e-09,0.216417,-17.3266,0.000138871,0.000126516,-1.97588e-13,0.00018786
113,0.0672793,0.20458,1e-09,0.215359,-29.137,0.000138314,0.000135196,-1.97588e-13,0.000193413
114,0.0861229,0.20077,1e-09,0.218463,-40.969,0.000136116,0.000146661,-1.97588e-13,0.000200092
115,0,0.2,1e-09,0.2,4.97527,0.000142749,0.000106002,-1.31447e-14,0.000177802
116,0.0166982,0.20945,1e-09,0.210114,1.78518,0.000140555,0.000109661,-5.30047e-14,0.000178273
117,0.0341906,0.219967,1e-09,0.222608,-4.5396,0.000137518,0.000118276,-5.30047e-14,0.000181385
118,0.105473,0.196496,1e-09,0.223014,-53.138,0.000133108,0.000158388,-2.3326e-13,0.000206893
119,0.0996663,0.215444,1e-09,0.23738,-47.3404,0.000132074,0.000166582,-2.3326e-13,0.000212587
120,0.124236,0.192076,1e-09,0.228753,-62.8386,0.000129875,0.000170335,-4.28046e-13,0.000214199
121,0.0511662,0.230102,1e-09,0.235722,-13.9842,0.000133109,0.000131476,-1.08778e-13,0.000187093
122,0.0645469,0.2207,1e-09,0.229946,-24.1028,0.000135128,0.000139194,-1.08778e-13,0.000193996
123,0.179868,0.126249,1e-09,0.219752,-89.8515,9.9666e-05,0.000138728,-4.36212e-13,0.000170818
124,0.185463,0.107249,1e-09,0.21424,-92.6558,8.84051e-05,0.000119044,-4.36212e-13,0.00014828
125,0.173998,0.145176,1e-09,0.226609,-87.3956,0.000108961,0.000157433,-4.00206e-13,0.000191462
126,0.168097,0.164177,1e-09,0.234969,-85.186,0.00011625,0.000175042,-4.00206e-13,0.000210128
127,0.162292,0.183134,1e-09,0.244697,-81.8475,0.000121401,0.000191482,-4.00206e-13,0.000226723
128,0.187537,0.159798,1e-09,0.246385,-92.5286,0.000110472,0.000182608,-4.00206e-13,0.000213424
129,0.204755,0.10286,1e-09,0.229139,-98.1962,8.16475e-05,0.00012119,-6.57897e-13,0.000146128
130,0.199325,0.121867,1e-09,0.233628,-96.7034,9.31309e-05,0.000142683,-6.57897e-13,0.000170388
131,0.212904,0.136338,1e-09,0.252816,-101.082,9.5828e-05,0.000167917,-4.81302e-13,0.000193336
132,0.19344,0.140742,1e-09,0.239223,-94.4486,0.000102706,0.000162964,-4.81302e-13,0.000192629
133,0.197218,0.0694855,1e-09,0.209101,-97.0504,6.11544e-05,7.84758e-05,-7.92578e-13,9.94903e-05
134,0.201178,0.0352786,1e-09,0.204247,-100.854,3.29052e-05,3.95615e-05,-4.76362e-13,5.14574e-05
135,0.203699,0.05297,1e-09,0.210473,-100.197,4.7407e-05,6.03249e-05,-4.76362e-13,7.67237e-05
136,0.219291,0.0465701,1e-09,0.224182,-104.875,4.03226e-05,5.51994e-05,-4.76362e-13,6.83585e-05
137,0.18,0,1e-09,0.18,-96.8463,0,0,-4.27773e-13,4.27773e-13
138,0.2,0,1e-09,0.2,-102.605,0,3.97573e-55,-4.49278e-13,4.49278e-13
139,0.191201,0.0881857,1e-09,0.210557,-94.7293,7.53661e-05,9.86924e-05,-6.07452e-13,0.000124178
140,0.0801942,0.219839,1e-09,0.234009,-36.1554,0.000133787,0.000151989,-1.39668e-13,0.000202484
141,0.0713714,0.238125,1e-09,0.248591,-27.0376,0.000128593,0.00015204,-1.39668e-13,0.000199129
142,0.0170445,0.230209,1e-09,0.230839,6.24432,0.00013398,0.000108098,1.59502e-14,0.00017215
143,0,0.22,1e-09,0.22,8.56208,0.000137995,0.000102323,1.59502e-14,0.000171793
144,0.0346375,0.240006,1e-09,0.242493,-1.84221,0.000129548,0.000119534,-5.0998e-14,0.00017627
145,0.0173205,0.250002,1e-09,0.250601,9.47779,0.000123619,0.000105512,-5.0998e-14,0.000162525
146,0.118858,0.211247,1e-09,0.242389,-58.8175,0.000129461,0.000180832,-2.84792e-13,0.000222397
147,0.11303,0.230261,1e-09,0.256507,-54.2266,0.000126074,0.000189819,-2.84792e-13,0.000227872
148,0.0937604,0.234506,1e-09,0.252555,-42.5191,0.000127095,0.00017261,-2.84792e-13,0.000214354
149,0.143206,0.187583,1e-09,0.235999,-73.0743,0.00012572,0.000181086,-3.72177e-13,0.000220449
150,0.137683,0.20669,1e-09,0.248349,-69.5954,0.000126386,0.000194442,-3.72177e-13,0.000231908
151,0.181622,0.178845,1e-09,0.254897,-90.5206,0.000115808,0.000201418,-5.81149e-13,0.000232337
152,0.150897,0.221563,1e-09,0.268068,-76.3246,0.0001209,0.000221316,-5.72561e-13,0.000252185
153,0.132072,0.226075,1e-09,0.261826,-65.4983,0.000123755,0.000206176,-2.70786e-13,0.000240466
154,0.0521334,0.249588,1e-09,0.254974,-12.2214,0.000123601,0.000136844,-1.15373e-13,0.0001844
155,0.0684554,0.259262,1e-09,0.268147,-22.3657,0.000116278,0.000156413,-1.15373e-13,0.000194899
156,0.201075,0.174442,1e-09,0.266198,-98.1702,0.000109964,0.000209966,-6.22711e-13,0.000237019
157,0.206982,0.155398,1e-09,0.258824,-99.4641,0.000103957,0.000189285,-6.22711e-13,0.000215953
158,0.210687,0.0837861,1e-09,0.226736,-100.541,6.86992e-05,9.92719e-05,-4.95181e-13,0.000120725
159,0.218609,0.117451,1e-09,0.248163,-102.103,8.6063e-05,0.000145275,-4.95181e-13,0.000168854
160,0.224239,0.0984602,1e-09,0.244903,-104.011,7.46242e-05,0.00012232,-4.95181e-13,0.000143287
161,0.237971,0.113102,1e-09,0.263481,-107.596,7.88621e-05,0.000146855,-4.95181e-13,0.00016669
162,0.230171,0.0793878,1e-09,0.243477,-105.758,6.18146e-05,9.89339e-05,-4.95181e-13,0.000116657
163,0.220489,0.170075,1e-09,0.278462,-105.471,0.000103646,0.000216959,-5.06511e-13,0.000240445
164,0.22637,0.151085,1e-09,0.272158,-106.191,9.71559e-05,0.000194362,-5.06511e-13,0.000217292
165,0.23229,0.132074,1e-09,0.267212,-106.706,8.88246e-05,0.000171005,-5.06511e-13,0.000192698
166,0.216175,0.0653056,1e-09,0.225824,-102.97,5.48994e-05,7.77458e-05,-5.74176e-13,9.51754e-05
167,0.21018,0.0164957,1e-09,0.210827,-104.71,1.56268e-05,1.87394e-05,-5.92386e-13,2.44e-05
168,0.220044,0.0302812,1e-09,0.222118,-106.367,2.69336e-05,3.55807e-05,-5.92386e-13,4.46252e-05
169,0.23034,0.0176164,1e-09,0.231013,-109.872,1.56246e-05,2.09812e-05,-5.92386e-13,2.61598e-05
170,0.22,0,1e-09,0.22,-108.104,9.26973e-48,0,-4.67027e-13,4.67027e-13
171,0.0879611,0.253594,1e-09,0.268416,-36.2713,0.00011785,0.000176507,-1.63383e-13,0.000212234
172,0,0.24,1e-09,0.24,12.6883,0.000129299,9.63576e-05,4.18152e-14,0.000161254
173,0.0351661,0.262415,1e-09,0.264761,2.01604,0.000115386,0.000120265,-2.92723e-15,0.000166666
174,0.0163832,0.27001,1e-09,0.270506,15.3569,0.000108847,0.000100135,-2.92723e-15,0.000147901
175,0,0.26,1e-09,0.26,17.5461,0.000116504,8.9955e-05,5.72266e-14,0.000147191
176,0.126556,0.244909,1e-09,0.275675,-62.3183,0.00011692,0.000216003,-4.10197e-13,0.000245616
177,0.107261,0.249157,1e-09,0.271264,-49.953,0.000117955,0.000196443,-4.10197e-13,0.000229136
178,0.120789,0.263801,1e-09,0.290139,-58.6687,0.000106558,0.000223576,-2.52813e-13,0.000247671
179,0.101357,0.26819,1e-09,0.286704,-44.7287,0.000106373,0.000200808,-2.52813e-13,0.000227243
180,0.156567,0.202221,1e-09,0.255747,-78.8924,0.000122665,0.000206803,-4.32451e-13,0.000240445
181,0.175711,0.197898,1e-09,0.264647,-88.4352,0.000118298,0.000218954,-4.32451e-13,0.000248868
182,0.195163,0.193489,1e-09,0.274821,-97.4281,0.000113096,0.000229781,-4.83573e-13,0.000256106
183,0.145626,0.240596,1e-09,0.281235,-73.4798,0.000114814,0.000234381,-3.77457e-13,0.000260992
184,0.140094,0.259519,1e-09,0.294917,-70.8802,0.000105829,0.000244974,-3.77457e-13,0.000266856
185,0.169813,0.216929,1e-09,0.27549,-85.9875,0.00011727,0.000235252,-4.98263e-13,0.000262861
186,0.164644,0.236119,1e-09,0.287853,-84.1368,0.000112446,0.000251115,-4.98263e-13,0.000275142
187,0.082412,0.272829,1e-09,0.285004,-31.3368,0.000104953,0.00017797,-1.40762e-13,0.000206612
188,0.095917,0.287472,1e-09,0.303051,-40.0054,8.96925e-05,0.000203346,-1.40762e-13,0.000222249
189,0.0635465,0.277633,1e-09,0.284813,-16.8141,0.000101696,0.000154642,-1.40762e-13,0.000185084
190,0.0770261,0.292019,1e-09,0.302006,-25.6039,8.65248e-05,0.00017709,-1.40762e-13,0.000197097
191,0.0522109,0.266122,1e-09,0.271195,-10.4324,0.00011205,0.000139048,-4.25528e-14,0.000178577
192,0.0295086,0.280133,1e-09,0.281683,7.88557,9.97588e-05,0.000112717,-4.25528e-14,0.000150522
193,0.0451429,0.280516,1e-09,0.284125,-2.68575,9.92736e-05,0.000131676,-4.25528e-14,0.000164906
194,0.0582511,0.295943,1e-09,0.301621,-11.0003,8.31964e-05,0.000150789,-1.16026e-13,0.000172218
195,0.21461,0.189085,1e-09,0.286025,-104.885,0.000107489,0.000238768,-4.47319e-13,0.000261847
196,0.234021,0.184716,1e-09,0.298137,-111.711,0.000101533,0.000246054,-4.47319e-13,0.000266179
197,0.236104,0.0603123,1e-09,0.243685,-107.938,4.78202e-05,7.52953e-05,-8.26808e-13,8.91973e-05
198,0.249654,0.0749905,1e-09,0.260673,-110.106,5.47714e-05,9.74684e-05,-8.26808e-13,0.000111803
199,0.243722,0.0940601,1e-09,0.261243,-108.459,6.72625e-05,0.000122451,-7.06575e-13,0.000139709
200,0.257364,0.108734,1e-09,0.27939,-111.606,7.12251e-05,0.000147149,-7.06575e-13,0.00016348
201,0.245707,0.146884,1e-09,0.286263,-111.393,9.04056e-05,0.00019794,-4.83483e-13,0.000217609
202,0.2516,0.127833,1e-09,0.282213,-111.44,8.14176e-05,0.000173012,-4.83483e-13,0.000191212
203,0.239813,0.165808,1e-09,0.291552,-111.543,9.70579e-05,0.000222405,-6.56301e-13,0.000242661
204,0.239445,0.0376373,1e-09,0.242385,-110.394,3.08291e-05,4.65869e-05,-6.01968e-13,5.58639e-05
205,0.255587,0.055921,1e-09,0.261633,-112.248,4.13246e-05,7.25798e-05,-6.01968e-13,8.35197e-05
206,0.24,0,1e-09,0.24,-113.695,0,0,-4.85755e-13,4.85755e-13
207,0.261864,0.0354883,1e-09,0.264258,-115.354,2.66015e-05,4.57747e-05,-5.46648e-13,5.2943e-05
208,0.250275,0.0180104,1e-09,0.250922,-114.807,1.45691e-05,2.25772e-05,-5.46648e-13,2.68699e-05
209,0,0.28,1e-09,0.28,24.0593,9.91178e-05,8.06316e-05,9.43705e-14,0.000127772
210,0.0171115,0.290055,1e-09,0.29056,19.0706,8.92418e-05,9.53746e-05,4.38992e-14,0.000130616
211,0.0362035,0.298835,1e-09,0.30102,6.09761,7.95245e-05,0.00011896,6.06042e-15,0.000143093
212,0.269127,0.0706059,1e-09,0.278235,-113.785,4.76821e-05,9.50051e-05,-9.55443e-13,0.000106299
213,0.134304,0.278428,1e-09,0.309127,-67.7484,9.24173e-05,0.000254058,-2.69776e-13,0.000270345
214,0.114926,0.282835,1e-09,0.305293,-54.5907,9.16505e-05,0.000228987,-3.22221e-13,0.000246647
215,0.18925,0.212494,1e-09,0.284551,-95.9791,0.000112936,0.000248283,-3.90442e-13,0.000272762
216,0.183514,0.231517,1e-09,0.295428,-94.1946,0.000109617,0.000265768,-3.90442e-13,0.000287486
217,0.202994,0.227253,1e-09,0.304714,-102.797,0.000105626,0.00027981,-6.08806e-13,0.000299082
218,0.208703,0.208122,1e-09,0.29474,-104.228,0.000108335,0.000259733,-5.38405e-13,0.00028142
219,0.228139,0.203723,1e-09,0.30586,-110.932,0.000102873,0.000269248,-5.38405e-13,0.000288231
220,0.222235,0.222751,1e-09,0.314653,-110.208,0.000101253,0.000291158,-5.38405e-13,0.000308262
221,0.159625,0.255036,1e-09,0.300872,-82.0138,0.000104341,0.000265112,-3.79352e-13,0.000284906
222,0.178567,0.250649,1e-09,0.307752,-92.5487,0.000102061,0.000283009,-3.79352e-13,0.00030085
223,0.197483,0.246276,1e-09,0.315676,-101.602,9.92802e-05,0.000299039,-4.01144e-13,0.000315089
224,0.090513,0.306672,1e-09,0.31975,-35.5991,6.84593e-05,0.000203897,-1.17565e-13,0.000215083
225,0.0717604,0.310586,1e-09,0.318768,-20.2235,6.46422e-05,0.000174359,-1.17565e-13,0.000185956
226,0.0851888,0.325247,1e-09,0.336218,-30.3656,4.29705e-05,0.000201897,-1.17565e-13,0.000206419
227,0.0530298,0.314567,1e-09,0.319006,-5.66633,5.94525e-05,0.000143797,-4.99204e-14,0.000155603
228,0.0339391,0.320213,1e-09,0.322007,9.66443,5.09579e-05,0.000112758,-4.99204e-14,0.000123738
229,0.253293,0.180472,1e-09,0.31101,-117.242,9.51821e-05,0.000251489,-5.14359e-13,0.000268898
230,0.247556,0.199342,1e-09,0.317838,-117.214,9.7568e-05,0.000276529,-6.70221e-13,0.000293236
231,0.263199,0.0896652,1e-09,0.278053,-112.696,5.98259e-05,0.000121076,-6.20546e-13,0.00013505
232,0.270879,0.123403,1e-09,0.297664,-115.278,7.3749e-05,0.00017298,-5.81308e-13,0.000188045
233,0.276742,0.104334,1e-09,0.295756,-115.014,6.33617e-05,0.000145841,-5.81308e-13,0.00015901
234,0.264894,0.142438,1e-09,0.300762,-115.929,8.27498e-05,0.000199581,-5.25045e-13,0.000216056
235,0.284353,0.138046,1e-09,0.316091,-118.921,7.5031e-05,0.000199548,-5.25045e-13,0.000213188
236,0.259103,0.16149,1e-09,0.305308,-116.716,9.00282e-05,0.000225829,-5.52868e-13,0.000243113
237,0.278429,0.157097,1e-09,0.319691,-120.272,8.26702e-05,0.000227318,-5.52868e-13,0.000241884
238,0.26,0,1e-09,0.26,-118.412,0,0,-5.05354e-13,5.05354e-13
239,0.281101,0.0331734,1e-09,0.283051,-119.198,2.24409e-05,4.41133e-05,-6.45051e-13,4.94932e-05
240,0.27,0.0173205,1e-09,0.270555,-119.078,1.26721e-05,2.24614e-05,-6.45051e-13,2.57895e-05
241,0.275138,0.0514765,1e-09,0.279912,-116.387,3.49655e-05,6.89008e-05,-6.39564e-13,7.72651e-05
242,0.2886,0.06626,1e-09,0.296109,-117.411,4.07374e-05,9.14555e-05,-6.39564e-13,0.000100118
